#{"t_start": 1713718523.670062, "env_id": "ALE/Breakout-v5"}
r,l,t
3.0,319,957.892068
1.0,199,962.133996
2.0,249,966.990082
2.0,223,971.25638
3.0,293,977.529692
1.0,189,981.231024
1.0,187,984.743836
0.0,175,987.424782
2.0,237,992.178349
1.0,203,996.192713
0.0,171,998.75401
0.0,161,1001.683906
1.0,208,1005.542572
1.0,224,1009.351161
2.0,241,1013.949146
0.0,165,1016.756194
2.0,261,1021.933627
1.0,206,1025.522724
2.0,246,1030.191654
2.0,248,1035.047903
2.0,269,1040.667338
6.0,400,1049.712802
2.0,245,1054.317138
2.0,241,1059.735699
1.0,203,1063.349561
1.0,166,1066.52048
1.0,217,1069.983135
1.0,203,1073.764686
2.0,253,1078.749848
3.0,274,1084.183263
4.0,316,1090.421437
2.0,245,1094.981497
0.0,145,1097.131799
3.0,261,1102.718768
1.0,190,1106.567105
1.0,221,1109.999222
3.0,268,1115.446817
5.0,325,1122.071649
3.0,284,1127.624082
4.0,297,1133.889627
2.0,255,1138.566489
3.0,304,1144.571366
3.0,284,1150.106014
1.0,218,1153.949923
1.0,220,1157.954484
0.0,182,1160.603434
9.0,377,1169.62139
4.0,315,1176.946606
4.0,321,1184.268969
2.0,261,1189.247887
1.0,194,1193.513715
1.0,205,1197.304804
1.0,199,1200.918287
0.0,162,1203.574731
2.0,232,1207.890658
2.0,243,1212.649688
0.0,171,1214.865976
0.0,149,1217.398273
4.0,353,1224.464472
0.0,151,1227.006489
0.0,154,1229.499551
1.0,184,1233.19756
2.0,240,1237.82497
0.0,167,1240.359601
2.0,251,1245.336055
0.0,183,1248.471497
2.0,223,1252.995567
1.0,206,1256.443204
0.0,168,1258.90358
2.0,221,1262.898333
3.0,268,1268.388503
1.0,202,1272.509924
2.0,237,1277.026169
2.0,257,1282.060108
0.0,155,1285.081381
0.0,167,1287.69882
4.0,349,1295.094038
1.0,199,1298.301833
2.0,255,1303.748794
0.0,172,1306.429429
0.0,173,1309.114314
5.0,344,1316.606098
2.0,229,1320.615024
2.0,247,1324.958026
0.0,173,1327.522096
2.0,218,1331.790186
3.0,290,1337.243946
0.0,147,1339.776504
2.0,231,1344.366182
3.0,279,1349.804749
1.0,206,1353.178712
0.0,161,1355.30307
3.0,279,1361.286204
0.0,171,1363.822443
6.0,378,1372.488242
3.0,305,1379.145691
2.0,222,1383.358906
1.0,194,1387.194583
1.0,202,1390.969755
1.0,199,1395.238875
1.0,218,1399.480508
0.0,156,1401.911802
2.0,244,1407.194211
2.0,250,1412.475417
0.0,170,1414.849583
1.0,173,1418.204799
4.0,306,1425.797355
3.0,266,1431.477422
0.0,163,1433.852805
2.0,233,1439.160422
1.0,195,1443.527937
2.0,243,1448.752154
1.0,199,1452.731725
2.0,237,1457.345385
3.0,283,1463.643562
4.0,331,1471.342556
2.0,247,1476.314184
0.0,147,1478.553811
4.0,324,1486.041477
1.0,211,1490.14973
1.0,203,1494.421032
0.0,166,1497.258335
4.0,327,1504.661481
3.0,279,1510.59082
3.0,278,1517.034336
1.0,195,1521.278794
2.0,253,1526.142604
2.0,242,1530.893647
0.0,155,1534.014024
5.0,350,1541.740224
6.0,392,1551.073352
4.0,305,1558.024532
0.0,175,1561.589573
1.0,206,1565.634992
0.0,171,1568.213316
1.0,207,1572.777747
1.0,204,1576.433213
2.0,229,1581.313902
1.0,177,1584.8625
0.0,151,1587.464478
0.0,153,1590.199456
2.0,252,1595.131425
3.0,313,1602.097757
3.0,278,1607.908209
2.0,240,1614.074046
4.0,329,1622.402284
1.0,207,1626.01425
2.0,252,1631.002996
0.0,174,1633.713197
3.0,274,1639.929943
0.0,172,1642.705596
1.0,203,1647.209091
4.0,354,1655.713264
1.0,217,1659.379417
2.0,230,1663.394037
2.0,235,1667.898795
5.0,361,1675.880098
4.0,330,1682.953166
5.0,366,1690.980666
3.0,252,1695.458864
2.0,259,1700.883718
2.0,242,1705.339263
3.0,278,1711.606605
2.0,242,1716.543577
0.0,155,1719.59463
1.0,191,1723.037955
1.0,185,1726.493894
2.0,269,1731.687267
3.0,280,1737.370235
4.0,335,1744.402975
2.0,255,1749.269539
0.0,164,1751.47977
4.0,350,1758.813643
2.0,248,1763.634233
2.0,227,1768.393129
1.0,185,1771.897906
2.0,239,1776.640371
2.0,241,1781.419552
2.0,264,1786.585809
2.0,242,1790.904196
2.0,247,1795.846238
3.0,293,1802.048921
0.0,171,1804.758462
2.0,256,1810.075821
5.0,363,1818.123897
4.0,324,1825.251077
2.0,262,1830.592377
1.0,226,1834.55291
4.0,334,1841.58846
0.0,167,1844.534646
5.0,394,1853.84085
2.0,228,1858.660183
2.0,239,1863.041958
1.0,210,1866.523238
3.0,280,1872.15619
0.0,162,1874.853541
0.0,178,1877.510927
3.0,264,1883.18897
2.0,231,1887.608272
0.0,161,1890.702831
1.0,210,1894.244469
0.0,147,1896.486131
6.0,362,1904.804975
4.0,299,1911.342202
3.0,291,1917.433448
3.0,279,1922.720936
0.0,179,1925.784452
1.0,202,1929.766238
2.0,252,1934.161211
0.0,169,1936.788516
0.0,179,1939.447209
1.0,197,1942.953988
1.0,197,1946.503413
1.0,191,1950.011225
5.0,362,1957.886501
3.0,286,1963.230689
0.0,162,1965.888786
3.0,264,1971.617356
5.0,366,1979.505752
4.0,325,1986.218831
0.0,171,1988.907909
2.0,258,1994.22438
1.0,212,1997.785568
3.0,281,2003.557113
4.0,313,2010.042002
3.0,270,2015.561993
3.0,239,2020.251765
1.0,220,2024.279457
0.0,160,2027.182808
0.0,157,2029.765989
1.0,202,2033.280912
0.0,163,2035.958374
3.0,294,2041.6612
4.0,308,2048.655852
4.0,332,2055.941637
1.0,204,2059.93286
4.0,325,2067.232932
3.0,274,2072.96333
2.0,229,2077.586011
2.0,232,2081.957743
2.0,265,2087.009601
0.0,178,2089.556455
2.0,231,2094.173226
2.0,235,2098.380238
3.0,274,2104.234376
0.0,181,2106.797058
1.0,203,2110.658923
2.0,235,2115.125648
4.0,322,2121.760165
3.0,288,2128.021702
3.0,261,2133.238811
4.0,286,2139.387635
3.0,267,2145.025721
0.0,170,2148.108891
4.0,345,2155.087117
0.0,159,2157.754099
3.0,283,2163.904807
0.0,181,2166.564587
0.0,175,2169.211443
1.0,226,2173.199584
2.0,254,2178.015923
