#{"t_start": 1713848176.1160197, "env_id": "ALE/Breakout-v5"}
r,l,t
18.0,693,868.213764
15.0,645,869.629158
15.0,683,871.101227
13.0,637,872.764153
33.0,1019,874.838209
26.0,882,876.998997
19.0,729,878.554608
29.0,942,880.73222
26.0,1092,883.131409
16.0,654,884.502816
13.0,700,885.921699
11.0,614,887.204058
12.0,621,888.774744
21.0,828,890.449435
26.0,957,892.734628
15.0,655,894.069159
14.0,686,895.43695
27.0,962,897.574884
13.0,684,898.934269
12.0,637,900.251467
14.0,641,901.617114
25.0,792,903.5132
16.0,763,905.079343
15.0,631,906.364564
16.0,764,907.88603
18.0,736,909.69259
23.0,895,911.442501
23.0,838,913.36699
19.0,870,915.132439
29.0,938,917.318633
15.0,717,918.787679
18.0,766,920.608463
16.0,751,922.190435
14.0,651,923.567783
11.0,542,924.771739
14.0,662,926.142231
16.0,639,927.45067
21.0,867,929.417229
14.0,686,930.809033
20.0,714,932.287133
22.0,884,934.345153
26.0,912,936.434736
22.0,848,938.103914
18.0,869,940.065975
28.0,858,941.756463
34.0,890,943.84165
21.0,997,946.059744
15.0,691,947.468913
19.0,618,948.723486
16.0,798,950.311154
28.0,952,952.512392
21.0,803,954.097694
14.0,638,955.713637
18.0,712,957.206623
14.0,651,958.615168
20.0,840,960.327682
36.0,1025,962.673707
20.0,718,964.403698
12.0,630,965.704906
16.0,724,967.25022
21.0,756,968.794199
20.0,869,970.77795
24.0,938,972.896213
12.0,620,974.170341
26.0,1018,976.391583
15.0,709,977.809129
21.0,931,979.668226
12.0,553,980.871354
31.0,1000,983.087557
19.0,871,985.049508
12.0,612,986.260819
16.0,749,987.755051
22.0,906,989.938825
17.0,844,991.736878
18.0,652,993.09438
26.0,774,994.978633
24.0,830,996.734023
23.0,707,998.426642
22.0,893,1000.147687
24.0,947,1002.265285
11.0,598,1003.544709
16.0,724,1005.030456
26.0,876,1007.014507
24.0,1098,1009.360053
27.0,876,1011.097607
19.0,754,1012.906255
19.0,826,1014.517471
12.0,612,1015.783677
16.0,733,1017.534007
18.0,819,1019.145602
16.0,765,1020.66831
15.0,747,1022.372988
25.0,996,1024.263115
29.0,906,1026.283037
20.0,920,1028.333593
13.0,610,1029.584426
29.0,1027,1031.843374
17.0,770,1033.328509
24.0,888,1035.303633
12.0,647,1036.592017
20.0,785,1038.115977
27.0,954,1040.228224
14.0,754,1041.763391
11.0,565,1042.92915
14.0,662,1044.276487
31.0,1049,1046.564354
20.0,737,1048.314981
22.0,952,1050.137037
14.0,745,1051.893071
23.0,838,1053.55256
23.0,865,1055.50735
30.0,1068,1057.519803
19.0,808,1059.39112
25.0,891,1061.127939
37.0,1114,1063.50287
27.0,778,1065.287421
12.0,609,1066.530885
25.0,865,1068.243964
16.0,757,1070.025893
26.0,962,1072.203945
32.0,1020,1074.194018
13.0,592,1075.403066
28.0,894,1077.446694
17.0,698,1078.856863
24.0,708,1080.548535
23.0,774,1082.107778
26.0,890,1083.869809
30.0,974,1086.034043
14.0,578,1087.236821
17.0,627,1088.522833
20.0,866,1090.500732
28.0,780,1092.042948
23.0,893,1094.07537
30.0,1109,1096.511855
23.0,736,1097.976084
23.0,886,1100.037736
26.0,951,1101.864529
21.0,710,1103.563642
24.0,874,1105.237082
29.0,955,1107.340039
33.0,1020,1109.539682
16.0,706,1110.980386
7.0,406,1111.906898
19.0,873,1113.608702
15.0,694,1115.005998
24.0,761,1116.822021
24.0,963,1118.914352
17.0,824,1120.556359
16.0,741,1122.031592
13.0,669,1123.687857
17.0,759,1125.236938
17.0,682,1126.609552
28.0,882,1128.658614
24.0,826,1130.307451
25.0,1048,1132.609871
36.0,1087,1134.969825
26.0,751,1136.509427
28.0,920,1138.612666
22.0,685,1139.980584
16.0,794,1141.825857
16.0,675,1143.198764
24.0,815,1144.806398
20.0,800,1146.662806
24.0,798,1148.257918
29.0,896,1150.286774
24.0,815,1151.932947
29.0,894,1153.941637
30.0,837,1155.602696
14.0,677,1156.956064
19.0,716,1158.656675
15.0,727,1160.094701
27.0,980,1162.233606
26.0,926,1164.047724
25.0,820,1165.951739
16.0,777,1167.452057
31.0,954,1169.581178
35.0,1009,1171.814386
23.0,776,1173.322912
20.0,749,1175.105943
20.0,820,1176.703073
19.0,831,1178.292755
31.0,796,1180.127303
19.0,736,1181.597616
33.0,1009,1183.840801
17.0,794,1185.733709
21.0,852,1187.438192
11.0,629,1188.69151
27.0,840,1190.637697
20.0,925,1192.499591
32.0,874,1194.525649
26.0,916,1196.639813
15.0,708,1198.069448
23.0,907,1199.892303
